id,category
1,outside
2,inside
3,outside
4,outside
5,outside
6,outside
7,inside
8,outside
9,outside
10,outside
11,outside
12,outside
13,outside
14,boundary
15,outside
16,outside
17,inside
18,outside
19,outside
20,outside
21,outside
22,outside
23,outside
24,outside
25,outside
26,outside
27,outside
28,inside
29,outside
30,inside
31,outside
32,outside
33,inside
34,inside
35,boundary
36,outside
37,inside
38,outside
39,outside
40,outside
41,outside
42,outside
43,outside
44,outside
45,outside
46,outside
47,inside
48,outside
49,outside
50,outside
51,outside
52,outside
53,outside
54,outside
55,outside
56,inside
57,outside
58,inside
59,boundary
60,outside
61,outside
62,outside
63,outside
64,boundary
65,outside
66,inside
67,outside
68,outside
69,outside
70,inside
71,outside
72,outside
73,inside
74,boundary
75,outside
76,outside
77,inside
78,outside
79,outside
80,outside
81,outside
82,outside
83,outside
84,outside
85,outside
86,outside
87,outside
88,outside
89,outside
90,outside
91,outside
92,outside
93,outside
94,outside
95,boundary
96,outside
97,outside
98,outside
99,inside
100,outside
